X,"U_X_g000_avg"
0,-0.0194486
1,-0.0550877
2,-0.0878435
3,-0.118133
4,-0.146486
5,-0.17347
6,-0.199575
7,-0.225089
8,-0.250043
9,-0.274208
10,-0.297154
11,-0.318332
12,-0.337157
13,-0.353086
14,-0.365682
15,-0.374653
16,-0.379886
17,-0.381449
18,-0.379584
19,-0.374675
20,-0.367207
21,-0.357717
22,-0.346747
23,-0.334805
24,-0.322334
25,-0.309691
26,-0.297147
27,-0.284882
28,-0.273003
29,-0.261553
30,-0.250529
31,-0.239897
32,-0.229602
33,-0.219584
34,-0.209778
35,-0.200129
36,-0.190586
37,-0.181108
38,-0.171661
39,-0.162224
40,-0.152777
41,-0.143311
42,-0.133819
43,-0.124295
44,-0.11474
45,-0.105152
46,-0.0955314
47,-0.0858788
48,-0.0761943
49,-0.0664777
50,-0.0567282
51,-0.046945
52,-0.037126
53,-0.0272691
54,-0.0173714
55,-0.00742967
56,0.00256127
57,0.0126017
58,0.0226977
59,0.0328543
60,0.0430771
61,0.0533723
62,0.0637466
63,0.0742075
64,0.0847635
65,0.0954236
66,0.106198
67,0.117097
68,0.128132
69,0.139315
70,0.150656
71,0.162167
72,0.173856
73,0.185728
74,0.197785
75,0.210022
76,0.222426
77,0.234977
78,0.247641
79,0.260372
80,0.273111
81,0.285782
82,0.298294
83,0.310542
84,0.322406
85,0.333756
86,0.344457
87,0.354382
88,0.363433
89,0.371608
90,0.379114
91,0.386605
92,0.395581
93,0.408963
94,0.431709
95,0.471106
96,0.535984
97,0.634033
98,0.766642
99,0.922868
